"V1
References : ['plot_vs(vin, vout)']
Dependency : [V1]
Num. Points : [171]
Matrix Size : scalar
Type : Real","vout
References : ['plot_vs(vin, vout)']
Dependency : [V1,time]
Num. Points : [171,1006]
Matrix Size : scalar
Type : Real","plot_vs(vin, vout)
References : []
Dependency : [V1,vout]
Num. Points : [171,1006]
Matrix Size : scalar
Type : Real"
2.000,1.742E-8,2.000
2.000,1.032E-8,2.000
2.000,-1.101E-8,2.000
2.000,-1.603E-7,2.000
2.000,-1.376E-6,2.000
2.000,-1.194E-5,2.000
2.000,-1.058E-4,2.000
2.000,-3.504E-4,2.000
2.000,-0.001,1.999
2.000,-0.001,1.999
2.000,-0.002,1.998
2.000,-0.003,1.997
2.000,-0.004,1.996
2.000,-0.005,1.995
2.000,-0.006,1.994
2.000,-0.007,1.993
2.000,-0.009,1.991
2.000,-0.011,1.989
2.000,-0.012,1.988
2.000,-0.014,1.986
2.000,-0.016,1.983
2.000,-0.019,1.981
2.000,-0.021,1.979
2.000,-0.023,1.976
2.000,-0.026,1.974
2.000,-0.029,1.971
2.000,-0.032,1.968
2.000,-0.035,1.965
2.000,-0.038,1.962
2.000,-0.041,1.958
2.000,-0.045,1.955
2.000,-0.048,1.951
2.000,-0.052,1.948
2.000,-0.056,1.944
2.000,-0.060,1.940
2.000,-0.064,1.935
2.000,-0.068,1.931
2.000,-0.073,1.927
2.000,-0.077,1.922
2.000,-0.082,1.917
2.000,-0.087,1.913
2.000,-0.092,1.908
2.000,-0.097,1.903
2.000,-0.102,1.897
2.000,-0.107,1.892
2.000,-0.113,1.887
2.000,-0.118,1.881
2.000,-0.124,1.875
2.000,-0.130,1.869
2.000,-0.136,1.863
2.000,-0.142,1.857
2.000,-0.148,1.851
2.000,-0.154,1.845
2.000,-0.161,1.838
2.000,-0.167,1.832
2.000,-0.174,1.825
2.000,-0.180,1.818
2.000,-0.187,1.811
2.000,-0.194,1.804
2.000,-0.201,1.797
2.000,-0.209,1.790
2.000,-0.216,1.782
2.000,-0.223,1.775
2.000,-0.231,1.767
2.000,-0.239,1.759
2.000,-0.246,1.751
2.000,-0.254,1.743
2.000,-0.262,1.735
2.000,-0.270,1.727
2.000,-0.279,1.719
2.000,-0.287,1.711
2.000,-0.295,1.702
2.000,-0.304,1.694
2.000,-0.312,1.685
2.000,-0.321,1.676
2.000,-0.330,1.667
2.000,-0.339,1.658
2.000,-0.348,1.649
2.000,-0.357,1.640
2.000,-0.366,1.631
2.000,-0.375,1.621
2.000,-0.384,1.612
2.000,-0.394,1.602
2.000,-0.403,1.593
2.000,-0.413,1.583
2.000,-0.422,1.573
