"V1
References : ['plot_vs(vin, vout)']
Dependency : [V1]
Num. Points : [171]
Matrix Size : scalar
Type : Real","vout
References : ['plot_vs(vin, vout)']
Dependency : [V1,time]
Num. Points : [171,1006]
Matrix Size : scalar
Type : Real","plot_vs(vin, vout)
References : []
Dependency : [V1,vout]
Num. Points : [171,1006]
Matrix Size : scalar
Type : Real"
2.000,1.742E-8,2.000
2.000,9.547E-9,2.000
2.000,-1.408E-8,2.000
2.000,-1.795E-7,2.000
2.000,-1.527E-6,2.000
2.000,-1.323E-5,2.000
2.000,-1.173E-4,2.000
2.000,-3.883E-4,2.000
2.000,-0.001,1.999
2.000,-0.001,1.999
2.000,-0.002,1.998
2.000,-0.003,1.997
2.000,-0.004,1.996
2.000,-0.005,1.995
2.000,-0.007,1.993
2.000,-0.008,1.992
2.000,-0.010,1.990
2.000,-0.012,1.988
2.000,-0.014,1.986
2.000,-0.016,1.984
2.000,-0.018,1.982
2.000,-0.021,1.979
2.000,-0.023,1.977
2.000,-0.026,1.974
2.000,-0.029,1.971
2.000,-0.032,1.968
2.000,-0.035,1.965
2.000,-0.039,1.961
2.000,-0.042,1.958
2.000,-0.046,1.954
2.000,-0.050,1.950
2.000,-0.054,1.946
2.000,-0.058,1.942
2.000,-0.062,1.938
2.000,-0.066,1.933
2.000,-0.071,1.929
2.000,-0.076,1.924
2.000,-0.081,1.919
2.000,-0.086,1.914
2.000,-0.091,1.909
2.000,-0.096,1.903
2.000,-0.101,1.898
2.000,-0.107,1.892
2.000,-0.113,1.886
2.000,-0.119,1.881
2.000,-0.125,1.875
2.000,-0.131,1.868
2.000,-0.137,1.862
2.000,-0.143,1.856
2.000,-0.150,1.849
2.000,-0.157,1.842
2.000,-0.163,1.835
2.000,-0.170,1.828
2.000,-0.177,1.821
2.000,-0.185,1.814
2.000,-0.192,1.807
2.000,-0.199,1.799
2.000,-0.207,1.791
2.000,-0.215,1.784
2.000,-0.222,1.776
2.000,-0.230,1.768
2.000,-0.238,1.760
2.000,-0.247,1.751
2.000,-0.255,1.743
2.000,-0.263,1.735
2.000,-0.272,1.726
2.000,-0.280,1.717
2.000,-0.289,1.708
2.000,-0.298,1.699
2.000,-0.307,1.690
2.000,-0.316,1.681
2.000,-0.325,1.672
2.000,-0.334,1.662
2.000,-0.344,1.653
2.000,-0.353,1.643
2.000,-0.363,1.634
2.000,-0.373,1.624
2.000,-0.382,1.614
2.000,-0.392,1.604
2.000,-0.402,1.594
2.000,-0.412,1.583
2.000,-0.423,1.573
2.000,-0.433,1.563
2.000,-0.443,1.552
2.000,-0.454,1.542
2.000,-0.464,1.531
2.000,-0.475,1.520
2.000,-0.485,1.510
2.000,-0.496,1.499
2.000,-0.507,1.488
2.000,-0.518,1.477
2.000,-0.529,1.465
2.000,-0.540,1.454
2.000,-0.551,1.443
2.000,-0.562,1.431
2.000,-0.573,1.420
2.000,-0.585,1.409
2.000,-0.596,1.397
2.000,-0.608,1.385
2.000,-0.619,1.374
2.000,-0.631,1.362
2.000,-0.642,1.350
2.000,-0.654,1.338
2.000,-0.666,1.326
2.000,-0.678,1.314
2.000,-0.689,1.302
2.000,-0.701,1.290
2.000,-0.713,1.278
2.000,-0.725,1.266
2.000,-0.737,1.254
2.000,-0.749,1.241
2.000,-0.761,1.229
2.000,-0.773,1.217
2.000,-0.786,1.204
2.000,-0.798,1.192
2.000,-0.810,1.179
2.000,-0.822,1.167
2.000,-0.835,1.154
2.000,-0.847,1.142
2.000,-0.859,1.129
2.000,-0.872,1.117
2.000,-0.884,1.104
2.000,-0.896,1.091
2.000,-0.909,1.079
2.000,-0.921,1.066
2.000,-0.933,1.053
2.000,-0.946,1.041
2.000,-0.958,1.028
2.000,-0.971,1.015
2.000,-0.983,1.003
2.000,-0.996,0.990
2.000,-1.008,0.977
2.000,-1.020,0.965
2.000,-1.033,0.952
2.000,-1.045,0.939
2.000,-1.058,0.927
2.000,-1.070,0.914
2.000,-1.082,0.901
2.000,-1.095,0.888
2.000,-1.107,0.876
2.000,-1.119,0.863
2.000,-1.132,0.851
2.000,-1.144,0.838
2.000,-1.156,0.825
2.000,-1.168,0.813
2.000,-1.181,0.800
2.000,-1.193,0.788
2.000,-1.205,0.775
2.000,-1.217,0.763
2.000,-1.229,0.751
2.000,-1.241,0.738
2.000,-1.253,0.726
2.000,-1.265,0.714
2.000,-1.277,0.702
2.000,-1.289,0.689
2.000,-1.300,0.677
2.000,-1.312,0.665
2.000,-1.324,0.653
2.000,-1.336,0.641
2.000,-1.347,0.629
2.000,-1.359,0.617
2.000,-1.370,0.605
2.000,-1.382,0.594
2.000,-1.393,0.582
2.000,-1.404,0.570
2.000,-1.415,0.559
2.000,-1.426,0.547
2.000,-1.438,0.536
2.000,-1.449,0.524
2.000,-1.459,0.513
2.000,-1.470,0.502
2.000,-1.481,0.491
2.000,-1.492,0.480
2.000,-1.502,0.469
2.000,-1.513,0.458
2.000,-1.523,0.447
2.000,-1.534,0.436
2.000,-1.544,0.426
2.000,-1.554,0.415
2.000,-1.564,0.405
2.000,-1.574,0.394
2.000,-1.584,0.384
