"vout
References : ['plot_vs(vin, vout)']
Dependency : [time]
Num. Points : [1006]
Matrix Size : scalar
Type : Real","plot_vs(vin, vout)
References : []
Dependency : [vout]
Num. Points : [1006]
Matrix Size : scalar
Type : Real"
2.958,9.142
2.958,9.142
2.958,9.142
2.958,9.142
2.958,9.142
2.958,9.142
2.957,9.141
2.955,9.138
2.951,9.135
2.946,9.130
2.939,9.123
2.932,9.115
2.922,9.106
2.912,9.095
2.900,9.083
2.887,9.070
2.872,9.055
2.856,9.039
2.839,9.022
2.820,9.003
2.800,8.983
2.778,8.962
2.756,8.939
2.732,8.915
2.706,8.889
2.680,8.862
2.652,8.834
2.622,8.805
2.592,8.774
2.560,8.742
2.527,8.709
2.492,8.674
2.456,8.639
2.419,8.601
2.381,8.563
2.342,8.523
2.301,8.483
2.259,8.441
2.216,8.397
2.172,8.353
2.126,8.307
2.079,8.260
2.032,8.212
1.982,8.163
1.932,8.112
1.881,8.061
1.829,8.008
1.775,7.954
1.720,7.900
1.664,7.844
1.608,7.786
1.550,7.728
1.491,7.669
1.431,7.609
1.370,7.548
1.308,7.485
1.245,7.422
1.181,7.358
1.116,7.292
1.050,7.226
0.983,7.159
0.915,7.091
0.847,7.022
0.777,6.952
0.707,6.881
0.635,6.809
0.563,6.737
0.490,6.663
0.416,6.589
0.342,6.514
0.267,6.438
0.190,6.362
0.114,6.284
0.036,6.206
-0.042,6.128
-0.121,6.048
-0.201,5.968
-0.281,5.887
-0.362,5.806
-0.443,5.724
-0.525,5.641
-0.608,5.558
-0.691,5.474
-0.775,5.389
-0.859,5.304
-0.944,5.219
-1.029,5.133
-1.115,5.046
-1.201,4.960
-1.287,4.872
-1.374,4.784
-1.461,4.696
-1.549,4.608
-1.637,4.519
-1.725,4.430
-1.814,4.340
-1.903,4.250
-1.992,4.160
-2.081,4.070
-2.171,3.979
-2.260,3.888
-2.350,3.797
-2.440,3.706
-2.531,3.614
-2.621,3.523
-2.711,3.431
-2.802,3.339
-2.892,3.247
-2.983,3.155
-3.073,3.063
-3.164,2.972
-3.254,2.880
-3.345,2.788
-3.435,2.696
-3.525,2.604
-3.615,2.512
-3.705,2.421
-3.795,2.329
-3.885,2.238
-3.974,2.147
-4.063,2.056
-4.152,1.965
-4.241,1.874
-4.329,1.784
-4.417,1.694
-4.505,1.604
-4.592,1.515
-4.679,1.426
-4.766,1.337
-4.852,1.249
-4.938,1.161
-5.024,1.074
-5.109,0.986
-5.193,0.900
-5.277,0.814
-5.360,0.728
-5.443,0.643
-5.526,0.558
-5.607,0.474
-5.689,0.391
-5.769,0.308
-5.849,0.226
-5.928,0.144
-6.007,0.063
-6.085,-0.018
-6.162,-0.097
-6.238,-0.176
-6.314,-0.254
-6.389,-0.332
-6.463,-0.409
-6.537,-0.485
-6.609,-0.560
-6.681,-0.634
-6.752,-0.708
-6.822,-0.781
-6.891,-0.853
-6.959,-0.924
-7.027,-0.994
-7.093,-1.063
-7.159,-1.131
-7.223,-1.199
-7.287,-1.265
-7.350,-1.331
-7.411,-1.395
-7.472,-1.459
-7.532,-1.521
-7.590,-1.583
-7.648,-1.643
-7.704,-1.702
-7.759,-1.761
-7.814,-1.818
-7.867,-1.874
-7.919,-1.929
-7.970,-1.983
-8.020,-2.036
-8.068,-2.088
-8.116,-2.138
-8.162,-2.188
-8.207,-2.236
-8.251,-2.283
-8.294,-2.329
-8.336,-2.373
-8.376,-2.417
-8.415,-2.459
-8.453,-2.500
-8.489,-2.540
-8.525,-2.578
-8.559,-2.615
-8.592,-2.651
-8.623,-2.686
-8.653,-2.719
-8.682,-2.751
-8.710,-2.782
-8.736,-2.812
-8.761,-2.840
-8.785,-2.867
-8.807,-2.892
-8.828,-2.916
-8.848,-2.939
-8.866,-2.961
-8.883,-2.981
-8.899,-3.000
-8.913,-3.017
-8.926,-3.033
-8.938,-3.048
-8.948,-3.062
-8.957,-3.074
-8.964,-3.084
-8.970,-3.094
-8.975,-3.102
-8.979,-3.108
-8.981,-3.113
-8.981,-3.117
-8.981,-3.119
-8.978,-3.121
-8.975,-3.120
-8.970,-3.118
-8.964,-3.115
-8.956,-3.111
-8.947,-3.105
-8.937,-3.098
-8.925,-3.089
-8.912,-3.079
-8.898,-3.068
-8.882,-3.055
-8.865,-3.041
-8.847,-3.026
-8.827,-3.009
-8.806,-2.991
-8.783,-2.971
-8.759,-2.950
-8.734,-2.928
-8.708,-2.905
-8.680,-2.880
-8.651,-2.854
-8.621,-2.826
-8.589,-2.798
-8.556,-2.767
-8.522,-2.736
-8.486,-2.703
-8.450,-2.669
-8.412,-2.634
-8.372,-2.598
-8.332,-2.560
-8.290,-2.521
-8.247,-2.481
-8.203,-2.439
-8.158,-2.397
-8.111,-2.353
-8.063,-2.308
-8.015,-2.261
-7.965,-2.214
-7.913,-2.165
-7.861,-2.115
-7.808,-2.064
-7.753,-2.012
-7.697,-1.959
-7.641,-1.905
-7.583,-1.850
-7.524,-1.793
-7.464,-1.735
-7.403,-1.677
-7.341,-1.617
-7.278,-1.557
-7.214,-1.495
-7.149,-1.432
-7.083,-1.368
-7.016,-1.304
-6.949,-1.238
-6.880,-1.171
-6.810,-1.104
-6.740,-1.036
-6.669,-0.966
-6.596,-0.896
-6.523,-0.825
-6.449,-0.753
-6.375,-0.680
-6.299,-0.607
-6.223,-0.532
-6.146,-0.457
-6.068,-0.381
-5.990,-0.305
-5.911,-0.227
-5.831,-0.149
-5.750,-0.070
-5.669,0.009
-5.588,0.089
-5.505,0.170
-5.422,0.252
-5.339,0.334
-5.255,0.416
-5.170,0.499
-5.085,0.583
-4.999,0.667
-4.913,0.752
-4.827,0.837
-4.740,0.923
-4.652,1.009
-4.564,1.096
-4.476,1.183
-4.388,1.270
-4.299,1.358
-4.209,1.446
-4.120,1.534
-4.030,1.623
-3.940,1.712
-3.850,1.801
-3.759,1.891
-3.669,1.981
-3.578,2.071
-3.487,2.161
-3.395,2.251
-3.304,2.342
-3.213,2.432
-3.121,2.523
-3.030,2.614
-2.938,2.705
-2.847,2.796
-2.755,2.887
-2.664,2.978
-2.572,3.069
-2.481,3.159
-2.390,3.250
-2.299,3.341
-2.207,3.432
-2.117,3.522
-2.026,3.612
-1.935,3.703
-1.845,3.793
-1.755,3.882
-1.665,3.972
-1.576,4.061
-1.486,4.150
-1.398,4.239
-1.309,4.328
-1.221,4.416
-1.133,4.503
-1.046,4.591
-0.959,4.678
-0.872,4.765
-0.786,4.851
-0.700,4.936
-0.615,5.022
-0.530,5.107
-0.446,5.191
-0.363,5.275
-0.280,5.358
-0.197,5.440
-0.116,5.522
-0.034,5.604
0.046,5.685
0.126,5.765
0.205,5.844
0.284,5.923
0.361,6.002
0.438,6.079
0.515,6.156
0.590,6.232
0.665,6.307
0.739,6.381
0.812,6.455
0.884,6.528
0.955,6.600
1.026,6.671
1.096,6.741
1.164,6.811
1.232,6.879
1.299,6.947
1.365,7.013
1.430,7.079
1.494,7.144
1.557,7.208
1.619,7.270
1.680,7.332
1.740,7.393
1.799,7.453
1.857,7.511
1.913,7.569
1.969,7.626
2.024,7.681
2.077,7.736
2.129,7.789
2.181,7.841
2.231,7.892
2.280,7.942
2.327,7.991
2.374,8.038
2.419,8.085
2.464,8.130
2.507,8.174
2.548,8.217
2.589,8.258
2.628,8.298
2.666,8.338
2.703,8.375
2.738,8.412
2.773,8.447
2.806,8.481
2.837,8.514
2.868,8.546
2.897,8.576
2.925,8.605
2.951,8.632
2.976,8.659
3.000,8.684
3.023,8.707
3.044,8.730
3.064,8.750
3.082,8.770
3.099,8.788
3.115,8.805
3.129,8.821
3.142,8.835
3.154,8.848
3.164,8.859
3.173,8.869
3.181,8.878
3.187,8.886
3.192,8.892
3.196,8.896
3.198,8.899
3.199,8.901
3.198,8.902
3.196,8.901
3.193,8.899
3.188,8.895
3.182,8.890
3.174,8.883
3.165,8.876
3.155,8.866
3.144,8.856
3.131,8.844
3.116,8.831
3.101,8.816
3.084,8.800
3.065,8.783
3.046,8.764
3.025,8.744
3.002,8.723
2.979,8.700
2.954,8.676
2.927,8.650
2.900,8.624
2.871,8.596
2.841,8.566
2.809,8.536
2.776,8.504
2.742,8.470
2.707,8.436
2.670,8.400
2.633,8.363
2.593,8.325
2.553,8.285
2.512,8.244
2.469,8.202
2.425,8.159
2.380,8.115
2.333,8.069
2.286,8.022
2.237,7.974
2.187,7.925
2.137,7.874
2.084,7.823
2.031,7.770
1.977,7.716
1.922,7.661
1.865,7.605
1.808,7.548
1.749,7.490
1.689,7.431
1.629,7.370
1.567,7.309
1.504,7.247
1.441,7.183
1.376,7.119
1.311,7.054
1.244,6.987
1.177,6.920
1.108,6.852
1.039,6.783
0.969,6.713
0.898,6.642
0.826,6.570
0.754,6.497
0.680,6.424
0.606,6.350
0.531,6.274
0.455,6.199
0.379,6.122
0.302,6.045
0.224,5.966
0.145,5.888
0.066,5.808
-0.014,5.728
-0.095,5.647
-0.176,5.565
-0.258,5.483
-0.340,5.400
-0.423,5.317
-0.506,5.233
-0.590,5.148
-0.675,5.063
-0.760,4.978
-0.845,4.892
-0.931,4.805
-1.017,4.718
-1.104,4.631
-1.191,4.543
-1.279,4.455
-1.366,4.366
-1.455,4.277
-1.543,4.188
-1.632,4.098
-1.721,4.008
-1.810,3.918
-1.899,3.828
-1.989,3.737
-2.079,3.646
-2.169,3.555
-2.259,3.464
-2.349,3.372
-2.440,3.281
-2.530,3.189
-2.621,3.097
-2.711,3.005
-2.802,2.914
-2.892,2.822
-2.983,2.730
-3.073,2.638
-3.164,2.546
-3.254,2.454
-3.344,2.362
-3.434,2.271
-3.524,2.179
-3.614,2.088
-3.704,1.997
-3.793,1.906
-3.882,1.815
-3.971,1.724
-4.060,1.634
-4.148,1.544
-4.236,1.454
-4.324,1.364
-4.411,1.275
-4.498,1.186
-4.585,1.098
-4.671,1.010
-4.757,0.922
-4.842,0.835
